cell_specimen_id,ori_peak_sig,freq_peak_sig
661966190,1.5344165288824314,1.1641709500343291
661965433,1.4185054316677501,1.2159419378324738
661966150,1.3729527460817588,1.1357590960991741
661966001,1.3470961224265503,1.1543888439486711
661965940,1.3151701377048395,1.2754082280349652
661965710,1.2830285004348734,1.166948565834126
